Duration,Date,Pulse,Maxpulse,Calories
60,2026-01-02,110,130,409.1
60,2026-01-03,117,145,479
60,2026-01-04,103,135,340
45,2026-01-05,109,175,282.4
45,2026-01-06,117,148,406
60,2026-01-07,102,127,300
60,2026-01-08,110,136,374
45,2026-01-09,104,134,253.3
30,2026-01-10,109,133,195.1
60,2026-01-11,98,124,269
60,2026-01-12,103,147,329.3
60,2026-01-13,100,120,250.7
60,2026-01-14,106,128,345.3
60,2026-01-15,104,132,379.3
60,2026-01-16,98,123,275
60,2026-01-17,98,120,215.2
60,2026-01-18,100,120,300
45,2026-01-19,90,112,
60,2026-01-20,103,123,323
45,2026-01-21,97,125,243
60,2026-01-22,108,131,364.2
45,1/27/2026,100,119,282
60,2026-01-24,130,101,300
45,2026-01-25,105,132,246
60,2026-01-26,102,126,334.5
60,20260127',100,120,250
60,2026-01-28,92,118,241
60,2026-01-29,103,132,
60,2026-01-30,100,132,280
60,2026-01-31,102,129,380.3
60,2026-02-01,92,115,243
45,2026-02-02,90,112,180.1
60,2026-02-03,101,124,299
60,2026-02-04,93,113,223
60,2026-02-05,107,136,361
60,2026-02-06,114,140,415
60,2026-02-07,102,127,300
60,2026-02-08,100,120,300
60,2026-02-09,100,120,300
45,2026-02-10,104,129,266
45,2026-02-11,90,112,180.1
60,2026-02-12,98,126,286
60,2026-02-13,100,122,329.4
60,2026-02-14,111,138,400
60,2026-02-15,111,131,397
60,2026-02-16,99,119,273
60,2026-02-17,109,153,387.6
45,2026-02-18,111,136,300
45,2026-02-19,108,129,298
60,2026-02-20,111,139,397.6
60,2026-02-21,107,136,380.2
80,2026-02-22,123,146,643.1
60,2026-02-23,106,130,263
60,2026-02-24,118,151,486
30,2026-02-25,136,175,238
60,2026-02-26,121,146,450.7
60,2026-02-27,118,121,413
45,2026-02-28,115,144,305
20,2026-03-01,153,172,226.4
45,2026-03-02,123,152,321
210,2026-03-03,108,160,1376
160,2026-03-04,110,137,1034.4
160,2026-03-05,109,135,853
45,2026-03-06,118,141,341
20,2026-03-07,110,130,131.4
180,2026-03-08,90,130,800.4
150,2026-03-09,105,135,873.4
150,2026-03-10,107,130,816
20,2026-03-11,106,136,110.4
300,2026-03-12,108,143,1500.2
150,2026-03-13,97,129,1115
60,2026-03-14,109,153,387.6
90,2026-03-15,100,127,700
150,2026-03-16,97,127,953.2
45,2026-03-17,114,146,304
90,2026-03-18,98,125,563.2
45,2026-03-19,105,134,251
45,2026-03-20,110,141,300
120,2026-03-21,100,130,500.4
270,2026-03-22,100,131,1729
30,2026-03-23,159,182,319.2
45,2026-03-24,149,169,344
30,2026-03-25,103,139,151.1
120,2026-03-26,100,130,500
45,2026-03-27,100,120,225.3
30,2026-03-28,151,170,300
45,2026-03-29,102,136,234
120,2026-03-30,100,157,1000.1
45,2026-03-31,129,103,242
20,2026-04-01,83,107,50.3
180,2026-04-02,101,127,600.1
45,2026-04-03,107,137,NaN
30,2026-04-04,90,107,105.3
15,2026-04-05,80,100,50.5
20,2026-04-06,150,171,127.4
20,2026-04-07,151,168,229.4
30,2026-04-08,95,128,128.2
25,2026-04-09,152,168,244.2
30,2026-04-10,109,131,188.2
90,2026-04-11,93,124,604.1
20,2026-04-12,95,112,77.7
90,2026-04-13,90,110,500
90,2026-04-14,90,100,500
90,2026-04-15,90,100,500.4
30,2026-04-16,92,108,92.7
30,2026-04-17,93,128,124
180,2026-04-18,90,120,800.3
30,2026-04-19,90,120,86.2
90,2026-04-20,90,120,500.3
210,2026-04-21,137,184,1860.4
60,2026-04-22,102,124,325.2
45,2026-04-23,107,124,275
15,2026-04-24,124,139,124.2
45,2026-04-25,100,120,225.3
60,2026-04-26,108,131,367.6
60,2026-04-27,108,151,351.7
60,2026-04-28,116,141,443
60,2026-04-29,97,122,277.4
60,2026-04-30,105,125,NaN
60,2026-05-01,103,124,332.7
30,2026-05-02,112,137,193.9
45,2026-05-03,100,120,100.7
60,2026-05-04,119,169,336.7
60,2026-05-05,107,127,344.9
60,2026-05-06,111,151,368.5
60,2026-05-07,98,122,271
60,2026-05-08,97,124,275.3
60,2026-05-09,109,127,382
90,2026-05-10,99,125,466.4
60,2026-05-11,114,151,384
60,2026-05-12,104,134,342.5
60,2026-05-13,107,138,357.5
60,2026-05-14,103,133,335
60,2026-05-15,106,132,327.5
60,2026-05-16,103,136,339
20,2026-05-17,136,156,189
45,2026-05-18,117,143,317.7
45,2026-05-19,115,137,318
45,2026-05-20,113,138,308
20,2026-05-21,141,162,222.4
60,2026-05-22,108,135,390
60,2026-05-23,97,127,NaN
45,2026-05-24,100,120,250.4
45,2026-05-25,122,149,335.4
60,2026-05-26,136,170,470.2
45,2026-05-27,106,126,270.8
60,2026-05-28,107,136,400
60,2026-05-29,112,146,361.9
30,2026-05-30,103,127,185
60,2026-05-31,110,150,409.4
60,2026-06-01,106,134,343
60,2026-06-02,109,129,353.2
60,2026-06-03,109,138,374
30,2026-06-04,150,167,275.8
60,2026-06-05,105,128,328
60,2026-06-06,111,151,368.5
60,2026-06-07,97,131,270.4
60,2026-06-08,100,120,270.4
60,2026-06-09,114,150,382.8
30,2026-06-10,80,120,240.9
30,2026-06-11,85,120,250.4
45,2026-06-12,90,130,260.4
45,2026-06-13,95,130,270
45,2026-06-14,100,140,280.9
60,2026-06-15,105,140,290.8
60,2026-06-16,110,145,300
60,2026-06-17,115,145,310.2
75,2026-06-18,120,150,320.4
75,2026-06-19,125,150,330.4
